text,label
I'm dealing with sharp abdominal pain that started a few hours ago and wanted advice. I'm worried it needs attention today,urgent_care
I'm dealing with mild muscle soreness after exercise and wanted advice. it's pretty minor,self_care
"coughing up blood, I can barely breathe",emergency
I'm dealing with coughing up blood and wanted advice. this feels life-threatening,emergency
I'm dealing with loss of consciousness for several seconds and wanted advice. this feels life-threatening,emergency
I'm dealing with mild joint pain that's been around for a couple weeks and wanted advice. it's manageable but I'd like it checked out,routine_care
"My symptom is sudden severe ear pain, it's not improving with rest",urgent_care
For the past little while I've had mild joint pain that's been around for a couple weeks. I've had it for a couple of weeks now,routine_care
I'm dealing with a runny nose and wanted advice. it's pretty minor,self_care
"I have dry, chapped lips. it's been going on for a day",self_care
I'm dealing with a wart that hasn't gone away and wanted advice. it's not getting worse but it's not going away either,routine_care
"My symptom is signs of a stroke, numbness on one side of the body, this feels life-threatening",emergency
"I've been experiencing signs of a stroke, numbness on one side of the body.",emergency
"an itchy mosquito bite, it's been going on for a day",self_care
"a stuffy nose, it's pretty minor",self_care
For the past little while I've had intermittent mild lower back pain. it's manageable but I'd like it checked out,routine_care
I have a rash that hasn't gone away after several days. it's not urgent but I want a doctor's opinion,routine_care
"My symptom is a rash that hasn't gone away after several days, it's manageable but I'd like it checked out",routine_care
I've been experiencing a persistent cough that has lasted over a week. I've had it for a couple of weeks now,routine_care
I'm dealing with a dry cough and wanted advice. it doesn't stop me from my normal routine,self_care
For the past little while I've had a deep cut that might need stitches. it's getting worse quickly,urgent_care
"crushing chest pain radiating to my left arm, I can barely breathe",emergency
"My symptom is a deep cut that might need stitches, it started suddenly a few hours ago",urgent_care
I have a fever with chills that's gotten worse today. I'm worried it needs attention today,urgent_care
"one side of my face suddenly drooping and slurred speech, I can barely breathe",emergency
I have mild seasonal allergies. it doesn't stop me from my normal routine,self_care
I have a rash that hasn't gone away after several days.,routine_care
I have sudden severe ear pain. it's getting worse quickly,urgent_care
I'm dealing with a small lump I noticed that isn't painful and wanted advice.,routine_care
I'm dealing with crushing chest pain radiating to my left arm and wanted advice.,emergency
"a fever of 102F that started this morning, it's getting worse quickly",urgent_care
"trouble sleeping for the last two weeks, it's not urgent but I want a doctor's opinion",routine_care
I've been experiencing a fever with chills that's gotten worse today. I'm worried it needs attention today,urgent_care
For the past little while I've had mild fatigue after a long day. it doesn't stop me from my normal routine,self_care
I've been experiencing a stuffy nose. it comes and goes,self_care
I have a mild headache. over-the-counter medicine seems to help,self_care
I've been experiencing mild joint pain that's been around for a couple weeks. nothing I do seems to fully fix it,routine_care
I'm dealing with recurring mild migraines a few times a month and wanted advice. I've had it for a couple of weeks now,routine_care
